Category,Year,King County,Snohomish County
Burglary,1990,3.3,3818
Burglary,1990,3.3,0
Burglary,1990,3.3,152
Burglary,1990,3.3,0
Burglary,1990,3.3,122
Burglary,1990,3.3,3.3
Burglary,1990,3.3,58
Burglary,1990,3.3,32
Burglary,1990,3.3,
Burglary,1990,3.3,0
Burglary,1990,3.3,
Burglary,1990,3.3,
Burglary,1990,3.3,
Burglary,1990,230,3818
Burglary,1990,230,0
Burglary,1990,230,152
Burglary,1990,230,0
Burglary,1990,230,122
Burglary,1990,230,3.3
Burglary,1990,230,58
Burglary,1990,230,32
Burglary,1990,230,
Burglary,1990,230,0
Burglary,1990,230,
Burglary,1990,230,
Burglary,1990,230,
Burglary,1990,30.5,3818
Burglary,1990,30.5,0
Burglary,1990,30.5,152
Burglary,1990,30.5,0
Burglary,1990,30.5,122
Burglary,1990,30.5,3.3
Burglary,1990,30.5,58
Burglary,1990,30.5,32
Burglary,1990,30.5,
Burglary,1990,30.5,0
Burglary,1990,30.5,
Burglary,1990,30.5,
Burglary,1990,30.5,
Burglary,1990,,3818
Burglary,1990,,0
Burglary,1990,,152
Burglary,1990,,0
Burglary,1990,,122
Burglary,1990,,3.3
Burglary,1990,,58
Burglary,1990,,32
Burglary,1990,,
Burglary,1990,,0
Burglary,1990,,
Burglary,1990,,
Burglary,1990,,
Burglary,1990,0,3818
Burglary,1990,0,0
Burglary,1990,0,152
Burglary,1990,0,0
Burglary,1990,0,122
Burglary,1990,0,3.3
Burglary,1990,0,58
Burglary,1990,0,32
Burglary,1990,0,
Burglary,1990,0,0
Burglary,1990,0,
Burglary,1990,0,
Burglary,1990,0,
Burglary,1990,,3818
Burglary,1990,,0
Burglary,1990,,152
Burglary,1990,,0
Burglary,1990,,122
Burglary,1990,,3.3
Burglary,1990,,58
Burglary,1990,,32
Burglary,1990,,
Burglary,1990,,0
Burglary,1990,,
Burglary,1990,,
Burglary,1990,,
Burglary,1990,,3818
Burglary,1990,,0
Burglary,1990,,152
Burglary,1990,,0
Burglary,1990,,122
Burglary,1990,,3.3
Burglary,1990,,58
Burglary,1990,,32
Burglary,1990,,
Burglary,1990,,0
Burglary,1990,,
Burglary,1990,,
Burglary,1990,,
Burglary,1990,,3818
Burglary,1990,,0
Burglary,1990,,152
Burglary,1990,,0
Burglary,1990,,122
Burglary,1990,,3.3
Burglary,1990,,58
Burglary,1990,,32
Burglary,1990,,
Burglary,1990,,0
Burglary,1990,,
Burglary,1990,,
Burglary,1990,,
Theft,1990,76931,12845
Theft,1990,76931,0
Theft,1990,76931,1602
Theft,1990,76931,0
Theft,1990,76931,
Theft,1990,76931,0
Theft,1990,0,12845
Theft,1990,0,0
Theft,1990,0,1602
Theft,1990,0,0
Theft,1990,0,
Theft,1990,0,0
Theft,1990,12837,12845
Theft,1990,12837,0
Theft,1990,12837,1602
Theft,1990,12837,0
Theft,1990,12837,
Theft,1990,12837,0
Theft,1990,0,12845
Theft,1990,0,0
Theft,1990,0,1602
Theft,1990,0,0
Theft,1990,0,
Theft,1990,0,0
Theft,1990,,12845
Theft,1990,,0
Theft,1990,,1602
Theft,1990,,0
Theft,1990,,
Theft,1990,,0
Theft,1990,0,12845
Theft,1990,0,0
Theft,1990,0,1602
Theft,1990,0,0
Theft,1990,0,
Theft,1990,0,0
Motor Vehicle Theft,1990,11254,1239
Motor Vehicle Theft,1990,11254,57
Motor Vehicle Theft,1990,11254,0
Motor Vehicle Theft,1990,11254,
Motor Vehicle Theft,1990,469,1239
Motor Vehicle Theft,1990,469,57
Motor Vehicle Theft,1990,469,0
Motor Vehicle Theft,1990,469,
Motor Vehicle Theft,1990,0,1239
Motor Vehicle Theft,1990,0,57
Motor Vehicle Theft,1990,0,0
Motor Vehicle Theft,1990,0,
Motor Vehicle Theft,1990,,1239
Motor Vehicle Theft,1990,,57
Motor Vehicle Theft,1990,,0
Motor Vehicle Theft,1990,,
Total,1990,121629,19125
Total,1990,121629,0
Total,1990,121629,9161
Total,1990,121629,0
Total,1990,121629,1545
Total,1990,121629,826
Total,1990,121629,266
Total,1990,121629,333
Total,1990,121629,
Total,1990,121629,0
Total,1990,121629,
Total,1990,121629,
Total,1990,0,19125
Total,1990,0,0
Total,1990,0,9161
Total,1990,0,0
Total,1990,0,1545
Total,1990,0,826
Total,1990,0,266
Total,1990,0,333
Total,1990,0,
Total,1990,0,0
Total,1990,0,
Total,1990,0,
Total,1990,82369,19125
Total,1990,82369,0
Total,1990,82369,9161
Total,1990,82369,0
Total,1990,82369,1545
Total,1990,82369,826
Total,1990,82369,266
Total,1990,82369,333
Total,1990,82369,
Total,1990,82369,0
Total,1990,82369,
Total,1990,82369,
Total,1990,0,19125
Total,1990,0,0
Total,1990,0,9161
Total,1990,0,0
Total,1990,0,1545
Total,1990,0,826
Total,1990,0,266
Total,1990,0,333
Total,1990,0,
Total,1990,0,0
Total,1990,0,
Total,1990,0,
Total,1990,7211,19125
Total,1990,7211,0
Total,1990,7211,9161
Total,1990,7211,0
Total,1990,7211,1545
Total,1990,7211,826
Total,1990,7211,266
Total,1990,7211,333
Total,1990,7211,
Total,1990,7211,0
Total,1990,7211,
Total,1990,7211,
Total,1990,3084,19125
Total,1990,3084,0
Total,1990,3084,9161
Total,1990,3084,0
Total,1990,3084,1545
Total,1990,3084,826
Total,1990,3084,266
Total,1990,3084,333
Total,1990,3084,
Total,1990,3084,0
Total,1990,3084,
Total,1990,3084,
Total,1990,1179,19125
Total,1990,1179,0
Total,1990,1179,9161
Total,1990,1179,0
Total,1990,1179,1545
Total,1990,1179,826
Total,1990,1179,266
Total,1990,1179,333
Total,1990,1179,
Total,1990,1179,0
Total,1990,1179,
Total,1990,1179,
Total,1990,1454,19125
Total,1990,1454,0
Total,1990,1454,9161
Total,1990,1454,0
Total,1990,1454,1545
Total,1990,1454,826
Total,1990,1454,266
Total,1990,1454,333
Total,1990,1454,
Total,1990,1454,0
Total,1990,1454,
Total,1990,1454,
Total,1990,,19125
Total,1990,,0
Total,1990,,9161
Total,1990,,0
Total,1990,,1545
Total,1990,,826
Total,1990,,266
Total,1990,,333
Total,1990,,
Total,1990,,0
Total,1990,,
Total,1990,,
Total,1990,0,19125
Total,1990,0,0
Total,1990,0,9161
Total,1990,0,0
Total,1990,0,1545
Total,1990,0,826
Total,1990,0,266
Total,1990,0,333
Total,1990,0,
Total,1990,0,0
Total,1990,0,
Total,1990,0,
Total,1990,,19125
Total,1990,,0
Total,1990,,9161
Total,1990,,0
Total,1990,,1545
Total,1990,,826
Total,1990,,266
Total,1990,,333
Total,1990,,
Total,1990,,0
Total,1990,,
Total,1990,,
Total,1990,,19125
Total,1990,,0
Total,1990,,9161
Total,1990,,0
Total,1990,,1545
Total,1990,,826
Total,1990,,266
Total,1990,,333
Total,1990,,
Total,1990,,0
Total,1990,,
Total,1990,,
"Reported NIBRS Crimes - Washington Association of
Sheriffs and Police Chiefs",1990,,
Manslaughter,1990,0,0
Manslaughter,1990,0,0
Manslaughter,1990,0,0
Manslaughter,1990,0,0
Manslaughter,1990,0,8
Manslaughter,1990,0,43.8
Manslaughter,1990,0,0
Manslaughter,1990,0,0
Manslaughter,1990,0,0
Manslaughter,1990,0,0
Manslaughter,1990,0,0
Manslaughter,1990,0,8
Manslaughter,1990,0,43.8
Manslaughter,1990,0,0
Manslaughter,1990,6,0
Manslaughter,1990,6,0
Manslaughter,1990,6,0
Manslaughter,1990,6,0
Manslaughter,1990,6,8
Manslaughter,1990,6,43.8
Manslaughter,1990,6,0
Manslaughter,1990,6.8,0
Manslaughter,1990,6.8,0
Manslaughter,1990,6.8,0
